RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K015999,No Trade Name,Sari Sari Store,Parrot street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1217967,6.083266667,1.5,"501 - 2,000",No,47
Extreme Reach,7K012841,DAC'S STORE,Sari Sari Store,Fuentes street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13854,6.08706,1.7,"2001 - 3,500",No,181
Extreme Reach,7K015981,VANZ STORE,Sari Sari Store,Filipino- American.Friendship ave. brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1306867,6.074106667,1.4,"501 - 2,000",No,48
Extreme Reach,7K016731,EMMA STORE,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1365083,6.091695,1.5,"501 - 2,000",No,180
Extreme Reach,7K016735,No Trade Name,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1364683,6.092661667,1.5,101 - 500,No,180
Extreme Reach,7K016737,No Trade Name,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1364267,6.09386,1.5,101 - 500,No,180
Extreme Reach,7K016855,No Trade Name,Sari Sari Store,Purok Quilantang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1366917,6.091411667,1.6,"501 - 2,000",No,180
Extreme Reach,7K016868,PAGDATO STORE,Sari Sari Store,Purok Rovalgon,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13563,6.09236,1.3,"501 - 2,000",No,180
Extreme Reach,7K016851,No Trade Name,Sari Sari Store,Purok Quilantang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1387467,6.091453333,1.6,"501 - 2,000",No,180
Extreme Reach,7K011255,No Trade Name,Sari Sari Store,purok maliwanag,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1433917,6.076318333,1.6,"3,501 And Up",No,34
Extreme Reach,7K016749,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1385467,6.088405,1.5,101 - 500,No,181
Extreme Reach,7K016734,No Trade Name,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1371133,6.092485,1.7,101 - 500,No,180
Extreme Reach,7K016725,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.137755,6.091195,1.4,101 - 500,No,180
Extreme Reach,7K016751,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1394333,6.087488333,1.7,101 - 500,No,181
Extreme Reach,7K011501,No Trade Name,Sari Sari Store,purok san miguel,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.146125,6.078051667,1.8,"501 - 2,000",No,191
Extreme Reach,7K016732,AMIRA STORE,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1368383,6.091916667,1.8,"501 - 2,000",No,180
