DistributorID,AgentID,CustNo,RouteDate,StopNo,Name,WD,SalesManTerritory,latitude,longitude,dayno,distancetonextstore
11814,SK-DP4,7K011542,2025-11-10,14,7K011542,1,SK-DP4,6.07850167,125.1451667,6,0.005
11814,SK-DP4,7K011508,2025-11-10,15,7K011508,1,SK-DP4,6.07854333,125.1451633,6,0.017
11814,SK-DP4,7K011510,2025-11-10,16,7K011510,1,SK-DP4,6.07847167,125.1450283,6,0.014
11814,SK-DP4,7K011521,2025-11-10,17,7K011521,1,SK-DP4,6.07845833,125.1449033,6,0.018
11814,SK-DP4,7K011528,2025-11-10,18,7K011528,1,SK-DP4,6.07842667,125.14474,6,0.021
11814,SK-DP4,7K011544,2025-11-10,19,7K011544,1,SK-DP4,6.07856667,125.1446167,6,0.013
11814,SK-DP4,7K011124,2025-11-10,20,7K011124,1,SK-DP4,6.078605,125.1445017,6,0.011
11814,SK-DP4,7K011866,2025-11-10,21,7K011866,1,SK-DP4,6.07850667,125.144495,6,0.021
11814,SK-DP4,7K011864,2025-11-10,22,7K011864,1,SK-DP4,6.07832,125.1444983,6,0.029
11814,SK-DP4,7K011835,2025-11-10,23,7K011835,1,SK-DP4,6.078445,125.1442633,6,0.027
11814,SK-DP4,7K011838,2025-11-10,24,7K011838,1,SK-DP4,6.07862167,125.1441,6,0.019
11814,SK-DP4,7K011123,2025-11-10,25,7K011123,1,SK-DP4,6.07866667,125.1439383,6,0.023
11814,SK-DP4,7K011867,2025-11-10,26,7K011867,1,SK-DP4,6.07874833,125.143745,6,0.035
11814,SK-DP4,7K011892,2025-11-10,27,7K011892,1,SK-DP4,6.07892167,125.1434767,6,0.04
11814,SK-DP4,7K011861,2025-11-10,28,7K011861,1,SK-DP4,6.07856333,125.1434433,6,0.053
11814,SK-DP4,7K011862,2025-11-10,29,7K011862,1,SK-DP4,6.07875667,125.1430017,6,0.097
11814,SK-DP4,7K011122,2025-11-10,30,7K011122,1,SK-DP4,6.07794,125.1433117,6,0.034
11814,SK-DP4,7K011121,2025-11-10,31,7K011121,1,SK-DP4,6.07782167,125.14303,6,0.112
11814,SK-DP4,7K011836,2025-11-10,32,7K011836,1,SK-DP4,6.078125,125.1439933,6,0.006
11814,SK-DP4,7K011837,2025-11-10,33,7K011837,1,SK-DP4,6.07810833,125.1440483,6,0.017
11814,SK-DP4,7K011865,2025-11-10,34,7K011865,1,SK-DP4,6.078065,125.1441917,6,0.087
11814,SK-DP4,7K011844,2025-11-10,35,7K011844,1,SK-DP4,6.07879833,125.1444783,6,0.028
11814,SK-DP4,7K011846,2025-11-10,36,7K011846,1,SK-DP4,6.07903,125.1445883,6,0.041
11814,SK-DP4,7K011839,2025-11-10,37,7K011839,1,SK-DP4,6.07877333,125.1448517,6,0.054
11814,SK-DP4,7K011843,2025-11-10,38,7K011843,1,SK-DP4,6.07873667,125.1453367,6,0.043
11814,SK-DP4,7K011842,2025-11-10,39,7K011842,1,SK-DP4,6.07869833,125.1457217,6,0.032
11814,SK-DP4,7K011845,2025-11-10,40,7K011845,1,SK-DP4,6.07893333,125.145885,6,0.03
11814,SK-DP4,7K011840,2025-11-10,41,7K011840,1,SK-DP4,6.07871167,125.1460333,6,0.065
11814,SK-DP4,7K011879,2025-11-10,42,7K011879,1,SK-DP4,6.07911,125.14646,6,0.016
11814,SK-DP4,7K011850,2025-11-10,43,7K011850,1,SK-DP4,6.07918833,125.1465767,6,0.095
11814,SK-DP4,7K016390,2025-11-10,44,7K016390,1,SK-DP4,6.07987833,125.1460717,6,0.019
11814,SK-DP4,7K016389,2025-11-10,45,7K016389,1,SK-DP4,6.079965,125.1459217,6,0.086
11814,SK-DP4,7K011851,2025-11-10,46,7K011851,1,SK-DP4,6.079235,125.14566,6,0.028
