store,latitude,longitude,dayno,sequence,distancetonextstore
7K014210,6.08792667,125.1315233,2,11,0.016
7K014120,6.08778833,125.1315433,2,12,0.082
7K013893,6.08848167,125.131295,2,13,0.031
7K013930,6.08874,125.1312,2,14,0.011
7K014206,6.08882333,125.1311433,2,15,0.03
7K014117,6.08882333,125.1308733,2,16,0.058
7K014116,6.08836667,125.1306217,2,17,0.106
7K014115,6.08931833,125.13071,2,18,0.058
7K013898,6.08956833,125.13117,2,19,0.004
7K013926,6.08956667,125.1312017,2,20,0.023
7K013892,6.08937667,125.1312717,2,21,0.054
7K013929,6.08893333,125.1314617,2,22,0.059
7K013897,6.08920833,125.1319167,2,23,0.064
7K013871,6.088635,125.1319033,2,24,0.22
7K013872,6.09045333,125.13112,2,25,0.023
7K013907,6.09061,125.1312617,2,26,0.038
7K013886,6.09084667,125.1310117,2,27,0.028
7K013888,6.090945,125.1307783,2,28,0.063
7K013890,6.09102,125.1302117,2,29,0.052
7K013925,6.090555,125.130275,2,30,0.025
7K013891,6.09033,125.1302483,2,31,0.127
7K013889,6.09143667,125.1299667,2,32,0.151
7K013885,6.09123167,125.1313167,2,33,0.021
7K013910,6.09109833,125.131455,2,34,0.033
7K013873,6.09086667,125.1316433,2,35,0.028
7K013908,6.09098833,125.131865,2,36,0.006
7K013875,6.091045,125.13186,2,37,0.006
7K013874,6.09105333,125.1319133,2,38,0.024
7K013911,6.09118333,125.1320883,2,39,0.042
7K013877,6.09156,125.1320783,2,40,0.065
7K013884,6.09214333,125.13205,2,41,0.05
7K013883,6.09246667,125.1323617,2,42,0.027
7K013878,6.092265,125.132505,2,43,0.053
7K013879,6.09210167,125.1329567,2,44,0.025
7K013913,6.09194167,125.13311,2,45,0.041
7K013880,6.09208667,125.1334533,2,46,0.101
7K013914,6.092605,125.1342067,2,47,0.062
7K013881,6.09286833,125.1347,2,48,0.024
7K013882,6.09269667,125.1348333,2,49,0.37
7K013876,6.090795,125.13209,2,50,0.18
